ability	(n) [əˈbɪlɪti] khả năng
always	(adv) [ˈɔːlweɪz] luôn luôn
amateur	(n) [ˈæmətə(r)] nghiệp dư, người nghiệp dư
amaze	(v) [əˈmeɪz] làm kinh ngạc
amazing	(adj) [əˈmeɪzɪŋ] kinh ngạc
ambassador	(n) [æmˈbæsədə(r)] đại sứ
ambition	(n) [æmˈbɪʃn] hoài bão, khát vọng
ambitious	(adj) [æmˈbɪʃəs] có tham vọng
ambulance	(n) [ˈæmbjʊləns] xe cứu thương
among	(prep) [əˈmʌŋ] ở giữa, trong số
amount	(n) [əˈmaʊnt] số lượng
amuse	(v) [əˈmjuːz] làm vui, làm buồn cười
amusing	(adj) [əˈmjuːzɪŋ] vui nhộn, hài hước
analyse	(v) [ˈænəlaɪz] phân tích
analysis	(n) [əˈnælɪsɪs] phân tích
ancestor	(n) [ˈænsestə(r)] tổ tiên, ông bà
anchor	(n) [ˈæŋkə(r)] neo, chốt, giữa
ancient	(adj) [ˈeɪnʃənt] cổ xưa
and	(conj) [ənd] và
anger	(n) [ˈæŋɡə(r)] sự tức giận
angle	(n) [ˈæŋɡəl] góc
angry	(adj) [ˈæŋɡri] tức giận
animal	(n) [ˈænɪməl] động vật
ankle	(n) [ˈæŋkl] mắt cá chân
anniversary	(n) [ˌænɪˈvɜːrsəri] kỉ niệm
announce	(v) [əˈnaʊns] thông báo
announcement	(n) [əˈnaʊnsmənt] thông báo
annoy	(v) [əˈnɔɪ] làm phiền, quấy rối
annual	(adj) [ˈænjuəl] hàng năm
another	(det) [əˈnʌðər] một cái khác
answer	(v) [ˈænsər] trả lời
anticipate	(v) [ænˈtɪsɪpeɪt] dự đoán, mong chờ
anxiety	(n) [æŋˈzaɪəti] lo lắng, lo sợ
anxious	(adj) [ˈæŋkʃəs] lo lắng, lo sợ
any	(det) [ˈɛni] bất kỳ, một chút
anybody	(pron) [ˈɛnibɒdi] bất kỳ ai
anyone	(pron) [ˈɛniwʌn] bất kỳ ai
anything	(pron) [ˈɛnɪθɪŋ] bất cứ điều gì
anyway	(adv) [ˈɛnɪˌweɪ] dù sao, mặc kệ
anywhere	(adv) [ˈɛniwɛə(r)] ở bất cứ nơi nào
apart	(adv) [əˈpɑːrt] riêng biệt, cách xa
apartment	(n) [əˈpɑːrtmənt] căn hộ
apologize	(v) [əˈpɒlədʒaɪz] xin lỗi
apology	(n) [əˈpɒlədʒi] lời xin lỗi
apparent	(adj) [əˈpærənt] rõ ràng, dễ thấy
apparently	(adv) [əˈpærəntli] có vẻ như, rõ ràng là
appeal	(v) [əˈpiːl] kêu gọi, thu hút
appear	(v) [əˈpɪr] xuất hiện, trông có vẻ
appearance	(n) [əˈpɪrəns] sự xuất hiện, vẻ bề ngoài
apple	(n) [ˈæpəl] quả táo, táo
application	(n) [ˌæplɪˈkeɪʃn] ứng dụng, sự ứng dụng
apply	(v) [əˈplaɪ] áp dụng, nộp đơn
appoint	(v) [əˈpɔɪnt] bổ nhiệm, chỉ định
appointment	(n) [əˈpɔɪntmənt] cuộc hẹn, sự bổ nhiệm
appreciate	(v) [əˈpriːʃieɪt] đánh giá, trân trọng
approach	(v) [əˈproʊtʃ] tiếp cận
appropriate	(adj) [əˈproʊpriət] thích hợp, phù hợp
approval	(n) [əˈpruːvəl] sự chấp thuận
approve	(v) [əˈpruːv] phê duyệt, tán thành
approximate	(adj) [əˈprɑːksɪmət] xấp xỉ, gần đúng
approximately	(adv) [əˈprɑːksɪmətli] xấp xỉ, khoảng
april	(n) [ˈeɪprəl] tháng tư
aquarium	(n) [əˈkwɛriəm] hồ cá
aquatic	(adj) [əˈkwætɪk] sống dưới nước
arbitrary	(adj) [ˈɑːrbɪtrəri] độc đoán, tùy tiện
arc	(n) [ɑːrk] cung
arch	(n) [ɑːrtʃ] cung, hình cung
architect	(n) [ˈɑːrkɪtekt] kiến trúc sư
architecture	(n) [ˈɑːrkɪtektʃər] kiến trúc
archive	(n) [ˈɑːrkaɪv] lưu trữ
area	(n) [ˈɛriə] khu vực
arena	(n) [əˈriːnə] đấu trường, sân vận động
argue	(v) [ˈɑːrgjuː] tranh luận, biện hộ
argument	(n) [ˈɑːrgjʊmənt] cuộc tranh luận, lý lẽ
arise	(v) [əˈraɪz] nảy ra, xuất phát
arm	(n) [ɑːrm] cánh tay
armed	(adj) [ɑːrmd] có vũ trang
armor	(n) [ˈɑːrmər] áo giáp
army	(n) [ˈɑːrmi] quân đội
around	(adv) [əˈraʊnd] xung quanh, ở xung quanh
arrange	(v) [əˈreɪndʒ] sắp xếp, sắp đặt
arrangement	(n) [əˈreɪndʒmənt] sự sắp xếp
arrest	(v) [əˈrɛst] bắt giữ, tạm giữ
arrival	(n) [əˈraɪvəl] sự đến, sự đến nơi
arrive	(v) [əˈraɪv] đến, đến nơi
arrow	(n) [ˈæroʊ] mũi tên
art	(n) [ɑːrt] nghệ thuật
article	(n) [ˈɑːrtɪkl] bài báo, mục báo
artificial	(adj) [ˌɑːrtɪˈfɪʃl] nhân tạo, giả mạo
artist	(n) [ˈɑːrtɪst] nghệ sĩ, họa sĩ
artistic	(adj) [ɑːrˈtɪstɪk] thuộc về nghệ thuật
as	(conj) [əz] như, khi, trong khi
ash	(n) [æʃ] tro, tro tàn
ashamed	(adj) [əˈʃeɪmd] xấu hổ, hổ thẹn
aside	(adv) [əˈsaɪd] sang một bên, ngoài lề
ask	(v) [æsk] hỏi, yêu cầu
asleep	(adj) [əˈsliːp] đang ngủ
aspect	(n) [ˈæspekt] khía cạnh, góc độ
assault	(n) [əˈsɔːlt] cuộc tấn công, tấn công
asset	(n) [ˈæsɛt] tài sản, tài nguyên
assign	(v) [əˈsaɪn] phân công, giao việc
assignment	(n) [əˈsaɪnmənt] sự phân công, bài tập
assist	(v) [əˈsɪst] hỗ trợ, giúp đỡ
assistance	(n) [əˈsɪstəns] sự giúp đỡ, trợ giúp
assistant	(n) [əˈsɪstənt] trợ lý, trợ tá
associate	(v) [əˈsoʊsieɪt] kết nối, liên kết
association	(n) [əˌsoʊsiˈeɪʃn] sự liên kết, hiệp hội
assume	(v) [əˈsjuːm] cho rằng, giả định
assumption	(n) [əˈsʌmpʃn] sự giả định, ước định
assure	(v) [əˈʃʊr] đảm bảo, cam đoan
astonish	(v) [əˈstɑːnɪʃ] làm ngạc nhiên, làm kinh ngạc
astronaut	(n) [ˈæstrənɔːt] phi hành gia
astronomy	(n) [əˈstrɒnəmi] thiên văn học
asylum	(n) [əˈsaɪləm] tị nạn
athlete	(n) [ˈæθliːt] vận động viên
athletic	(adj) [æθˈletɪk] thuộc về thể thao, khoẻ mạnh
atmosphere	(n) [ˈætməsfɪər] khí quyển, bầu không khí
atom	(n) [ˈætəm] nguyên tử
atomic	(adj) [əˈtɒmɪk] nguyên tử
attach	(v) [əˈtætʃ] gắn, đính kèm
attack	(v) [əˈtæk] tấn công, công kích
attempt	(n) [əˈtempt] sự cố gắng, sự thử
attend	(v) [əˈtend] tham dự, đi học
attention	(n) [əˈtenʃn] sự chú ý, sự quan tâm
attitude	(n) [ˈætɪtjuːd] thái độ, quan điểm
attorney	(n) [əˈtɜːrni] luật sư, người ủy quyền
attract	(v) [əˈtrækt] thu hút, lôi cuốn
attraction	(n) [əˈtrækʃn] sự thu hút, địa điểm du lịch
attractive	(adj) [əˈtræktɪv] hấp dẫn, cuốn hút
attribute	(n) [ˈætrɪbjuːt] thuộc tính, đặc tính
auction	(n) [ˈɔːkʃn] phiên đấu giá
audience	(n) [ˈɔːdiəns] khán giả, thính giả
audio	(adj) [ˈɔːdiəʊ] âm thanh, thuộc về âm thanh
audit	(n) [ˈɔːdɪt] kiểm toán, kiểm tra
auditorium	(n) [ˌɔːdɪˈtɔːriəm] hội trường
august	(n) [ɔːˈɡʌst] tháng tám
aunt	(n) [ɑːnt] cô, dì
author	(n) [ˈɔːθə(r)] tác giả, nhà văn
authority	(n) [ɔːˈθɒrəti] quyền lực, quyền uy
auto	(n) [ˈɔːtoʊ] xe hơi, ô tô
automatic	(adj) [ˌɔːtəˈmætɪk] tự động, tự động hóa
automatically	(adv) [ˌɔːtəˈmætɪkli] tự động, tự động hóa
autonomy	(n) [ɔːˈtɒnəmi] tự chủ, tự trị
autumn	(n) [ˈɔːtəm] mùa thu
availability	(n) [əˌveɪləˈbɪləti] sự có sẵn, tính sẵn có
available	(adj) [əˈveɪləbl] có sẵn, có thể sử dụng được
avenue	(n) [ˈævənjuː] đại lộ, con đường
average	(adj) [ˈævərɪdʒ] trung bình, bình quân
avoid	(v) [əˈvɔɪd] tránh, né tránh
award	(n) [əˈwɔːrd] giải thưởng, phần thưởng
aware	(adj) [əˈwer] nhận thức, ý thức
away	(adv) [əˈweɪ] đi, xa
awful	(adj) [ˈɔːfl] tồi tệ, khủng khiếp
awkward	(adj) [ˈɔːkwərd] vụng về, ngượng ngùng
axis	(n) [ˈæksɪs] trục, trục quay
baby	(n) [ˈbeɪbi] em bé, đứa trẻ
back	(adv) [bæk] phía sau, về phía sau
background	(n) [ˈbækɡraʊnd] nền, bối cảnh
backward	(adj) [ˈbækwərd] lùi, về phía sau
bacon	(n) [ˈbeɪkən] thịt ba chỉ
bacteria	(n) [bækˈtɪəriə] vi khuẩn, vi sinh vật
bad	(adj) [bæd] xấu, tồi
badge	(n) [bædʒ] huy hiệu, biểu hiện
badly	(adv) [ˈbædli] tồi tệ, xấu
bag	(n) [bæɡ] túi, bao
baggage	(n) [ˈbæɡɪdʒ] hành lý
bake	(v) [beɪk] nướng (bánh, bánh mì)
balance	(n) [ˈbæləns] cân bằng, sự cân đối
ball	(n) [bɔːl] quả bóng, cầu
ballet	(n) [ˈbæleɪ] múa ba lê
balloon	(n) [bəˈluːn] bóng bay
ban	(v) [bæn] cấm, ngăn chặn
banana	(n) [bəˈnænə] chuối
band	(n) [bænd] ban nhạc, dải, băng
bandage	(n) [ˈbændɪdʒ] băng dính
bank	(n) [bæŋk] ngân hàng
bar	(n) [bɑːr] thanh, thanh ngang
barbecue	(n) [ˈbɑːrbɪkjuː] tiệc nướng ngoài trời
bare	(adj) [ber] trần, khỏa thân
barely	(adv) [ˈberli] gần như không, hầu như không
bargain	(n) [ˈbɑːrɡɪn] món hời, món đồ rẻ tiền
bark	(v) [bɑːrk] sủa
barn	(n) [bɑːrn] chuồng trại, kho thóc
barrel	(n) [ˈbærəl] thùng, thùng chứa
barrier	(n) [ˈbæriər] rào cản, chướng ngại vật
base	(n) [beɪs] cơ sở, căn cứ
baseball	(n) [ˈbeɪsbɔːl] bóng chày
basement	(n) [ˈbeɪsmənt] tầng hầm
basic	(adj) [ˈbeɪsɪk] cơ bản, cơ sở
basically	(adv) [ˈbeɪsɪkli] về cơ bản, cơ bản là
basin	(n) [ˈbeɪsn] lưu vực, chậu
basis	(n) [ˈbeɪsɪs] cơ sở, căn bản
basket	(n) [ˈbæskɪt] giỏ, rổ
basketball	(n) [ˈbæskɪtbɔːl] bóng rổ
bat	(n) [bæt] dơi, gậy đánh bóng
bath	(n) [bæθ] tắm
bathroom	(n) [ˈbæθruːm] phòng tắm
battery	(n) [ˈbætəri] pin, bộ pin
battle	(n) [ˈbætl] trận đánh, cuộc chiến
bay	(n) [beɪ] vịnh, eo biển
be	(v) [biː] là, ở
beach	(n) [biːtʃ] bãi biển
bean	(n) [biːn] đậu
bear	(n) [ber] gấu
beard	(n) [bɪrd] râu
beat	(v) [biːt] đánh, đập
beautiful	(adj) [ˈbjuːtɪfl] đẹp, xinh đẹp
beauty	(n) [ˈbjuːti] sắc đẹp, vẻ đẹp
because	(conj) [bɪˈkɒz] vì, bởi vì
become	(v) [bɪˈkʌm] trở thành, trở nên
bed	(n) [bed] giường
bedroom	(n) [ˈbedruːm] phòng ngủ
bee	(n) [biː] con ong
beef	(n) [biːf] thịt bò
beer	(n) [bɪər] bia
before	(adv) [bɪˈfɔːr] trước, trước khi
begin	(v) [bɪˈɡɪn] bắt đầu
beginning	(n) [bɪˈɡɪnɪŋ] sự bắt đầu, khởi đầu
behalf	(n) [bɪˈhɑːf] tên, phía
behave	(v) [bɪˈheɪv] cư xử, ứng xử
behavior	(n) [bɪˈheɪvjə(r)] hành vi, cách cư xử
behind	(adv) [bɪˈhaɪnd] phía sau
being	(n) [ˈbiːɪŋ] sinh vật, tồn tại
belief	(n) [bɪˈliːf] niềm tin, đức tin
believe	(v) [bɪˈliːv] tin, tin tưởng
bell	(n) [bel] chuông
belong	(v) [bɪˈlɒŋ] thuộc về, là của
below	(adv) [bɪˈləʊ] dưới, phía dưới
belt	(n) [belt] dây đai, thắt lưng
bench	(n) [bentʃ] ghế dài, băng dài
bend	(v) [bend] uốn cong, uốn cong
beneath	(adv) [bɪˈniːθ] dưới, phía dưới
benefit	(n) [ˈbenɪfɪt] lợi ích, phúc lợi
beside	(adv) [bɪˈsaɪd] bên cạnh, bên
besides	(adv) [bɪˈsaɪdz] ngoài ra, còn có
best	(adj) [best] tốt nhất
bet	(v) [bet] đặt cược, đánh cuộc
better	(adj) [ˈbetər] tốt hơn, cải thiện
between	(adv) [bɪˈtwiːn] giữa, ở giữa
beyond	(adv) [bɪˈjɒnd] vượt ra ngoài, phía sau
bias	(n) [ˈbaɪəs] thiên vị, định kiến
bicycle	(n) [ˈbaɪsɪkl] xe đạp
big	(adj) [bɪɡ] lớn, to
bike	(n) [baɪk] xe đạp
bill	(n) [bɪl] hóa đơn, giấy bạc
billion	(num) [ˈbɪljən] tỷ
bind	(v) [baɪnd] buộc, ràng buộc
biography	(n) [baɪˈɒɡrəfi] tiểu sử, lịch sử đời
biology	(n) [baɪˈɒlədʒi] sinh học
bird	(n) [bɜːrd] chim
birth	(n) [bɜːθ] sự sinh ra, ngày sinh
birthday	(n) [ˈbɜːθdeɪ] sinh nhật
biscuit	(n) [ˈbɪskɪt] bánh quy, bánh mì hỏng
bit	(n) [bɪt] một chút, mảnh nhỏ
bite	(v) [baɪt] cắn, cắn
bitter	(adj) [ˈbɪtə(r)] đắng, đắng cay
black	(adj) [blæk] đen, màu đen
blade	(n) [bleɪd] lưỡi (dao, kiếm), cánh (cỏ)
blame	(v) [bleɪm] đổ lỗi, trách móc
blank	(adj) [blæŋk] trống, trắng
blanket	(n) [ˈblæŋkɪt] chăn, mền
blast	(n) [blæst] sự nổ, sự phá hủy
blend	(v) [blend] pha trộn, kết hợp
bless	(v) [bles] ban phước, chúc phúc
blessing	(n) [ˈblesɪŋ] phước lành, sự chúc phúc
blind	(adj) [blaɪnd] mù, bị mù
block	(n) [blɒk] khối, khối lập phương
blog	(n) [blɒɡ] blog
blogger	(n) [ˈblɒɡə(r)] blogger
blood	(n) [blʌd] máu
bloody	(adj) [ˈblʌdi] đẫm máu, rất máu
blow	(v) [bloʊ] thổi, đánh, đập
blue	(adj) [bluː] xanh dương, màu xanh dương
board	(n) [bɔːrd] bảng, tấm ván
boat	(n) [boʊt] thuyền, tàu
body	(n) [ˈbɒdi] cơ thể, thân thể
boil	(v) [bɔɪl] sôi, đun sôi
bomb	(n) [bɒm] bom
bond	(n) [bɒnd] mối liên kết, trái phiếu
bone	(n) [boʊn] xương
bonus	(n) [ˈbəʊnəs] tiền thưởng, phần thưởng
book	(n) [bʊk] sách
boom	(n) [buːm] tiến triển mạnh mẽ, sự bùng nổ
boost	(v) [buːst] tăng cường, thúc đẩy
boot	(n) [buːt] ủng, giày (cao cổ)
border	(n) [ˈbɔːrdər] biên giới, ranh giới
bore	(v) [bɔːr] làm chán, làm buồn chán
boredom	(n) [ˈbɔːdəm] sự chán chường
born	(adj) [bɔːrn] sinh ra, được sinh ra
borrow	(v) [ˈbɒroʊ] mượn
boss	(n) [bɒs] ông chủ, sếp
both	(adv) [boʊθ] cả hai
bother	(v) [ˈbɒðər] làm phiền, quấy rầy
bottle	(n) [ˈbɒtl] chai
bottom	(n) [ˈbɒtəm] đáy, đáy của
bounce	(v) [baʊns] nảy, bật
bound	(adj) [baʊnd] ràng buộc, bị buộc
boundary	(n) [ˈbaʊndəri] ranh giới, biên giới
bow	(n) [baʊ] cúi chào, cung
bowl	(n) [boʊl] cái bát, tô
box	(n) [bɒks] hộp, thùng
boy	(n) [bɔɪ] cậu bé, con trai
brain	(n) [breɪn] óc, não
branch	(n) [bræntʃ] nhánh, cành
brand	(n) [brænd] thương hiệu
brave	(adj) [breɪv] dũng cảm, can đảm
bread	(n) [bred] bánh mì
break	(v) [breɪk] phá vỡ, đập vỡ
breakfast	(n) [ˈbrekfəst] bữa sáng
breast	(n) [brest] vú, ngực
breath	(n) [breθ] hơi thở
breathe	(v) [briːð] thở
brick	(n) [brɪk] gạch, gạch nung
bridge	(n) [brɪdʒ] cầu
brief	(adj) [briːf] ngắn gọn, tóm tắt
briefly	(adv) [ˈbriːfli] một cách ngắn gọn, tóm tắt
bright	(adj) [braɪt] sáng, sáng chói
brilliant	(adj) [ˈbrɪljənt] lộng lẫy, tuyệt vời
bring	(v) [brɪŋ] mang, đưa
broad	(adj) [brɔːd] rộng, rộng lớn
broadcast	(n) [ˈbrɔːdkæst] phát sóng, truyền hình
brother	(n) [ˈbrʌðər] anh em, anh trai
brown	(adj) [braʊn] nâu, màu nâu
brush	(n) [brʌʃ] bàn chải, cọ
bubble	(n) [ˈbʌbl] bong bóng, bọt
budget	(n) [ˈbʌdʒɪt] ngân sách, kinh phí
bug	(n) [bʌɡ] con bọ, côn trùng
build	(v) [bɪld] xây dựng, xây
building	(n) [ˈbɪldɪŋ] tòa nhà, công trình
bullet	(n) [ˈbʊlɪt] đạn, viên đạn
bunch	(n) [bʌntʃ] bó, cụm
burn	(v) [bɜːrn] đốt cháy, thiêu đốt
burst	(v) [bɜːrst] nổ, vỡ ra
bury	(v) [ˈberi] chôn cất, mai táng
bus	(n) [bʌs] xe buýt
bush	(n) [bʊʃ] bụi cây, bụi rậm
business	(n) [ˈbɪznəs] kinh doanh, doanh nghiệp
busy	(adj) [ˈbɪzi] bận rộn, năng động
but	(conj) [bʌt] nhưng, mà
butter	(n) [ˈbʌtər] bơ
butterfly	(n) [ˈbʌtəflaɪ] bướm
button	(n) [ˈbʌtn] nút, cúc
buy	(v) [baɪ] mua, mua vào
buyer	(n) [ˈbaɪər] người mua, khách hàng
by	(prep) [baɪ] bởi, bằng cách
bye	(int) [baɪ] tạm biệt, tạm biệt nhé
cab	(n) [kæb] taxi
cabbage	(n) [ˈkæbɪdʒ] cải bắp
cabin	(n) [ˈkæbɪn] cabin, buồng
cabinet	(n) [ˈkæbɪnɪt] tủ, ngăn kéo
cable	(n) [ˈkeɪbl] cáp, dây cáp
cake	(n) [keɪk] bánh
calculate	(v) [ˈkælkjʊleɪt] tính toán, tính
calculation	(n) [ˌkælkjʊˈleɪʃn] sự tính toán, phép tính
calendar	(n) [ˈkælɪndə(r)] lịch
call	(v) [kɔːl] gọi điện thoại, gọi
calm	(adj) [kɑːm] bình tĩnh, êm đềm
camera	(n) [ˈkæmərə] máy ảnh, camera
camp	(n) [kæmp] trại, cắm trại
campaign	(n) [kæmˈpeɪn] chiến dịch, chiến dịch quảng cáo
campus	(n) [ˈkæmpəs] khuôn viên trường đại học
can	(modal v) [kæn] có thể, có khả năng
cancel	(v) [ˈkænsəl] hủy bỏ, hủy
cancer	(n) [ˈkænsə(r)] ung thư
candidate	(n) [ˈkændɪdət] ứng viên, ứng cử viên
candle	(n) [ˈkændl] nến
candy	(n) [ˈkændi] kẹo
cap	(n) [kæp] nón, mũ
capable	(adj) [ˈkeɪpəbl] có khả năng, có năng lực
capacity	(n) [kəˈpæsəti] năng lực, khả năng
capital	(n) [ˈkæpɪtl] thủ đô, vốn
captain	(n) [ˈkæptɪn] đội trưởng, thuyền trưởng
capture	(v) [ˈkæptʃə(r)] bắt giữ, chiếm đoạt
car	(n) [kɑːr] xe hơi, ô tô
carbon	(n) [ˈkɑːrbən] carbon
card	(n) [kɑːrd] thẻ, thẻ bài
care	(n) [keə(r)] sự chăm sóc, sự quan tâm
career	(n) [kəˈrɪə(r)] sự nghiệp, sự nghề nghiệp
careful	(adj) [ˈkeərfəl] cẩn thận, cẩn trọng
carefully	(adv) [ˈkeərfəli] cẩn thận, cẩn trọng
carry	(v) [ˈkæri] mang, vác
case	(n) [keɪs] trường hợp, tình huống
cash	(n) [kæʃ] tiền mặt, tiền
cast	(v) [kɑːst] ném, tung
castle	(n) [ˈkæsl] lâu đài
casual	(adj) [ˈkæʒuəl] thoải mái, bình thường
casually	(adv) [ˈkæʒuəli] một cách thoải mái, bình thường
cat	(n) [kæt] mèo
catalogue	(n) [ˈkætəlɔːɡ] danh mục, sách mục
catch	(v) [kætʃ] bắt, nắm bắt
category	(n) [ˈkætɪɡəri] hạng mục, phân loại
cause	(n) [kɔːz] nguyên nhân, lý do
cease	(v) [siːs] ngừng, dừng lại
ceiling	(n) [ˈsiːlɪŋ] trần nhà, nóc nhà
celebrate	(v) [ˈselɪbreɪt] kỷ niệm, tổ chức
celebration	(n) [ˌselɪˈbreɪʃn] sự kỷ niệm, lễ kỷ niệm
cell	(n) [sel] tế bào, ô
cellar	(n) [ˈselə(r)] hầm rượu, hầm
cent	(n) [sent] xu, xu (đơn vị tiền tệ)
center	(n) [ˈsentə(r)] trung tâm, trung tâm
central	(adj) [ˈsentrəl] trung tâm, trung tâm
century	(n) [ˈsentʃəri] thế kỷ, thế kỷ
ceremony	(n) [ˈserəmoʊni] nghi lễ, lễ nghi
certain	(adj) [ˈsɜːrtən] chắc chắn, chắc chắn
certainly	(adv) [ˈsɜːrtənli] chắc chắn, nhất định
chain	(n) [tʃeɪn] chuỗi, dây chuyền
chair	(n) [tʃer] ghế, chức vụ
chairman	(n) [ˈtʃer.mən] chủ tịch, chủ tịch
challenge	(n) [ˈtʃælɪndʒ] thách thức, thách thức
chamber	(n) [ˈtʃeɪmbər] phòng, buồng
champion	(n) [ˈtʃæmpiən] nhà vô địch, nhà vô địch
chance	(n) [tʃæns] cơ hội, cơ hội
change	(v) [tʃeɪndʒ] thay đổi, thay đổi
channel	(n) [ˈtʃænəl] kênh, kênh
chaos	(n) [ˈkeɪɒs] hỗn loạn, hỗn độn
chapter	(n) [ˈtʃæptər] chương, chương
character	(n) [ˈkærəktər] nhân vật, tính cách
characteristic	(adj) [ˌkærəktəˈrɪstɪk] đặc điểm, đặc tính
charge	(v) [tʃɑːrdʒ] tính phí, tính phí
charity	(n) [ˈtʃærəti] từ thiện, lòng nhân ái
chart	(n) [tʃɑːrt] biểu đồ, biểu đồ
chase	(v) [tʃeɪs] đuổi theo, truy đuổi
cheap	(adj) [tʃiːp] rẻ, giá rẻ
cheat	(v) [tʃiːt] lừa đảo, gian lận
check	(v) [tʃek] kiểm tra, kiểm tra
cheek	(n) [tʃiːk] má, má
cheese	(n) [tʃiːz] pho mát, pho mát
chef	(n) [ʃef] đầu bếp, đầu bếp
chemical	(adj) [ˈkemɪkl] hóa học, hóa chất
chemist	(n) [ˈkemɪst] nhà hóa học, nhà thuốc
chemistry	(n) [ˈkemɪstri] hóa học, ngành hóa
chest	(n) [tʃest] ngực, hòm
chicken	(n) [ˈtʃɪkɪn] gà, thịt gà
chief	(adj) [tʃiːf] chính, chủ yếu
child	(n) [tʃaɪld] trẻ em, đứa trẻ
childhood	(n) [ˈtʃaɪldhʊd] tuổi thơ, thời thơ ấu
chill	(n) [tʃɪl] lạnh, sự lạnh
chin	(n) [tʃɪn] cằm, cằm
